sp.1,sp.2,sp.3,sp.4,sp.5,sp.6,sp.7,sp.8,sp.9,sp.10,sp.11,sp.12,sp.13,sp.14,sp.15,sp.16,sp.17,sp.18,sp.19,sp.20,sp.21,sp.22,sp.23,sp.24,sp.25,sp.26,sp.27,sp.28,sp.29,sp.30,sp.31,sp.32,sp.33,sp.34,sp.35,sp.36,sp.37,sp.38,sp.39,sp.40,sp.41,sp.42,sp.43
4,0,7,2,0,0,3,2,1,1,0,1,3,3,0,3,0,0,0,0,0,1,1,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,0,3,7,2,5,2,4,2,3,0,5,6,4,0,3,0,1,0,3,1,2,0,1,1,2,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,1,0
1,0,2,0,2,2,3,3,0,5,0,0,0,2,0,0,0,2,2,0,3,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
3,0,6,4,1,14,2,5,0,2,4,2,3,10,0,2,1,3,2,0,4,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
5,0,7,2,1,4,1,2,0,1,0,0,3,5,1,0,0,1,3,0,2,2,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1
1,0,2,4,0,3,4,3,0,1,2,2,2,2,0,0,0,3,0,4,1,2,1,2,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0
1,3,2,5,3,3,3,0,2,0,0,4,3,2,0,3,0,0,0,0,3,1,2,0,1,2,3,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0
0,1,1,3,4,9,2,0,0,0,2,5,1,5,0,0,0,0,2,2,3,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
6,4,8,3,0,8,1,1,1,1,0,0,4,8,1,1,0,2,0,0,3,2,2,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,2,0
3,0,3,1,0,0,3,0,0,1,0,0,2,0,0,0,0,0,1,0,2,2,1,1,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
4,1,5,2,0,7,6,2,3,1,0,0,3,6,0,0,0,2,2,4,3,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2
4,0,4,0,0,5,2,2,2,6,0,2,0,4,0,0,0,1,4,0,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,0,7,0,0,1,2,5,2,3,0,1,0,4,0,3,0,0,3,0,3,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,1,1,3,0,7,3,3,1,2,1,5,1,4,0,0,0,0,1,3,2,3,1,1,1,1,0,0,2,0,2,1,0,0,7,0,2,1,0,0,0,0,1
0,2,1,4,1,2,6,0,0,0,0,2,2,1,0,1,0,0,0,0,3,1,1,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
4,3,5,0,0,5,0,6,0,3,0,0,1,5,2,4,0,0,0,0,3,1,1,2,2,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
0,3,5,1,2,7,3,4,0,0,0,3,0,6,0,3,0,2,0,2,3,2,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,3,0,1,0
6,0,9,2,3,4,0,3,3,3,3,0,4,6,2,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
5,2,7,8,2,20,4,1,2,2,11,9,6,13,2,1,1,3,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0
4,5,10,7,5,14,0,7,5,1,3,2,5,12,5,0,0,0,0,0,2,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,0,10,4,2,8,0,4,5,3,4,3,5,9,4,0,0,0,0,0,2,3,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,3,0,0,0,0,1
1,4,7,8,5,13,2,3,1,1,8,6,4,10,1,0,5,0,0,0,3,2,2,0,1,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,9,0,0
5,0,3,6,3,9,3,4,0,2,8,3,5,6,0,0,7,3,0,0,3,2,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,2,3,0
4,1,6,5,5,17,0,6,2,0,6,4,4,11,3,0,4,3,0,0,2,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,1,0
2,0,7,5,2,9,2,6,4,0,6,1,3,8,4,2,3,0,0,0,2,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
5,0,6,3,5,16,0,7,6,4,6,1,4,11,3,0,1,1,0,0,3,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
5,0,4,6,1,8,3,3,2,2,5,1,5,6,0,0,1,0,0,0,4,1,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
4,1,4,7,4,14,3,5,2,2,8,3,5,9,1,0,6,0,0,0,3,2,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2
6,1,4,8,0,12,0,3,3,0,7,6,7,8,3,0,0,0,0,0,3,3,1,0,1,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,2,0
5,1,4,4,1,2,1,5,6,0,5,0,4,3,4,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
