data_iniSE,SE,casos_confirmados,casos_estimados,casos_est_min,casos_est_max,casprov,casconf,notif_accum_year,pop,Rt,p_inc100k,p_rt1,state_code,state,region,data_fimSE
2024-03-03,202410,4883,12904.5,7396,,,,282645,2923369.0,0.7257756,441.42563,0.0,DF,Distrito Federal,Centro-Oeste,2024-03-09
2024-02-25,202409,12200,15618.5,13720,,,,282645,2923369.0,0.8144972,534.26373,0.0,DF,Distrito Federal,Centro-Oeste,2024-03-02
2024-02-18,202408,16553,19008.0,17814,,,,282645,2923369.0,0.9243021,650.20874,2.4424907e-15,DF,Distrito Federal,Centro-Oeste,2024-02-24
2024-02-11,202407,16571,18675.5,17709,,,,282645,2923369.0,0.8827243,638.83484,0.0,DF,Distrito Federal,Centro-Oeste,2024-02-17
2024-02-04,202406,18470,20260.0,19422,,,,282645,2923369.0,1.0728897,693.036,1.0,DF,Distrito Federal,Centro-Oeste,2024-02-10
2024-01-28,202405,22578,23853.0,23202,,,,282645,2923369.0,1.6569003,815.94214,1.0,DF,Distrito Federal,Centro-Oeste,2024-02-03
2024-01-21,202404,19740,20422.5,20056,,,,282645,2923369.0,1.9742026,698.59467,1.0,DF,Distrito Federal,Centro-Oeste,2024-01-27
2024-01-14,202403,13550,13852.0,13680,,,,282645,2923369.0,1.8468535,473.83685,1.0,DF,Distrito Federal,Centro-Oeste,2024-01-20
2024-01-07,202402,8773,8877.5,8810,9014.0,,,282645,2923369.0,1.7783818,303.6736,1.0,DF,Distrito Federal,Centro-Oeste,2024-01-13
2023-12-31,202401,8773,8800.0,8777,8855.0,,,282645,2923369.0,2.6595988,301.02255,1.0,DF,Distrito Federal,Centro-Oeste,2024-01-06
2023-12-24,202352,3814,3814.0,3814,3814.0,,,282645,2923369.0,1.5393834,130.46591,1.0,DF,Distrito Federal,Centro-Oeste,2023-12-30
2023-12-17,202351,2944,2944.0,2944,2944.0,,,282645,2923369.0,1.542788,100.70573,1.0,DF,Distrito Federal,Centro-Oeste,2023-12-23
2023-12-10,202350,2614,2614.0,2614,2614.0,,,282645,2923369.0,1.8239049,89.41738,1.0,DF,Distrito Federal,Centro-Oeste,2023-12-16
2023-12-03,202349,1806,1806.0,1806,1806.0,,,282645,2923369.0,1.6908653,61.778038,1.0,DF,Distrito Federal,Centro-Oeste,2023-12-09
2023-11-26,202348,1381,1381.0,1381,1381.0,,,282645,2923369.0,1.7550658,47.240017,1.0,DF,Distrito Federal,Centro-Oeste,2023-12-02
2023-11-19,202347,1093,1093.0,1093,1093.0,,,282645,2923369.0,1.7975117,37.38837,1.0,DF,Distrito Federal,Centro-Oeste,2023-11-25
2023-11-12,202346,683,683.0,683,683.0,,,282645,2923369.0,1.3522967,23.363455,0.9999999,DF,Distrito Federal,Centro-Oeste,2023-11-18
2023-11-05,202345,610,610.0,610,610.0,,,282645,2923369.0,1.3152707,20.866337,0.9999961,DF,Distrito Federal,Centro-Oeste,2023-11-11
2023-10-29,202344,479,479.0,479,479.0,,,282645,2923369.0,1.0367191,16.385204,0.7099741,DF,Distrito Federal,Centro-Oeste,2023-11-04
2023-10-22,202343,410,410.0,410,410.0,,,282645,2923369.0,0.8820537,14.024915,0.03179249,DF,Distrito Federal,Centro-Oeste,2023-10-28
2023-10-15,202342,527,527.0,527,527.0,,,282645,2923369.0,1.0730109,18.027145,0.86957407,DF,Distrito Federal,Centro-Oeste,2023-10-21
2023-10-08,202341,398,398.0,398,398.0,,,282645,2923369.0,0.75615966,13.614429,1.1675856e-05,DF,Distrito Federal,Centro-Oeste,2023-10-14
2023-10-01,202340,519,519.0,519,519.0,,,282645,2923369.0,0.9209011,17.753489,0.08761707,DF,Distrito Federal,Centro-Oeste,2023-10-07
2023-09-24,202339,524,524.0,524,524.0,,,282645,2923369.0,0.88989437,17.924524,0.025900032,DF,Distrito Federal,Centro-Oeste,2023-09-30
2023-09-17,202338,548,548.0,548,548.0,,,282645,2923369.0,0.95341134,18.745495,0.2120019,DF,Distrito Federal,Centro-Oeste,2023-09-23
2023-09-10,202337,649,649.0,649,649.0,,,282645,2923369.0,1.1936715,22.200413,0.99886364,DF,Distrito Federal,Centro-Oeste,2023-09-16
2023-09-03,202336,567,567.0,567,567.0,,,282645,2923369.0,1.0809793,19.39543,0.9008318,DF,Distrito Federal,Centro-Oeste,2023-09-09
2023-08-27,202335,547,547.0,547,547.0,,,282645,2923369.0,1.0516144,18.711288,0.7945204,DF,Distrito Federal,Centro-Oeste,2023-09-02
2023-08-20,202334,502,502.0,502,502.0,,,282645,2923369.0,0.96499795,17.171968,0.2844213,DF,Distrito Federal,Centro-Oeste,2023-08-26
2023-08-13,202333,547,547.0,547,547.0,,,282645,2923369.0,1.0420364,18.711288,0.74992836,DF,Distrito Federal,Centro-Oeste,2023-08-19
2023-08-06,202332,488,488.0,488,488.0,,,282645,2923369.0,0.91675997,16.69307,0.08257488,DF,Distrito Federal,Centro-Oeste,2023-08-12
