UA,Ambiente,Gado,Temperatura,Cobertura,Luz,Flores,sp.1,sp.2,sp.3,sp.4,sp.5,sp.6,sp.7,sp.8,sp.9,sp.10,sp.11,sp.12,sp.13,sp.14,sp.15,sp.16,sp.17,sp.18,sp.19,sp.20,sp.21,sp.22,sp.23,sp.24,sp.25,sp.26,sp.27,sp.28,sp.29,sp.30,sp.31,sp.32,sp.33,sp.34
area1,MP,Presente,21.8,73,53.5,14,4,0,7,2,0,0,3,2,1,1,0,1,3,3,0,3,0,0,0,0,0,1,1,1,0,2,0,1,0,0,0,1,0,0
area2,MP,Ausente,21.3,62,61,28,5,0,3,7,2,5,2,4,2,3,0,5,6,4,0,3,0,1,0,3,1,2,0,1,1,2,0,0,0,0,5,1,0,0
area3,MP,Presente,23.8,57,71.5,17,1,0,2,0,2,2,3,3,0,5,0,0,0,2,0,0,0,2,2,0,3,1,1,0,0,1,0,0,0,0,0,1,0,0
area4,MP,Presente,23.2,49,69.5,29,3,0,6,4,1,14,2,5,0,2,4,2,3,10,0,2,1,3,2,0,4,2,2,2,2,0,0,0,0,0,0,0,0,0
area5,MP,Presente,21.5,59,61.5,15,5,0,7,2,1,4,1,2,0,1,0,0,3,5,1,0,0,1,3,0,2,2,1,1,0,1,0,0,1,0,0,1,1,1
area6,MP,Ausente,21.7,78,53,24,1,0,2,4,0,3,4,3,0,1,2,2,2,2,0,0,0,3,0,4,1,2,1,2,1,1,0,0,0,0,0,1,0,0
area7,MP,Ausente,20.3,64,58,21,1,3,2,5,3,3,3,0,2,0,0,4,3,2,0,3,0,0,0,0,3,1,2,0,1,2,3,0,0,0,1,1,0,0
area8,MP,Ausente,19.7,74,56,29,0,1,1,3,4,9,2,0,0,0,2,5,1,5,0,0,0,0,2,2,3,2,1,1,0,1,0,0,0,0,0,0,0,0
area9,MP,Presente,24.7,48,71,20,6,4,8,3,0,8,1,1,1,1,0,0,4,8,1,1,0,2,0,0,3,2,2,1,0,1,0,0,0,0,0,1,1,0
area10,MP,Presente,20.2,75,60.5,5,3,0,3,1,0,0,3,0,0,1,0,0,2,0,0,0,0,0,1,0,2,2,1,1,1,1,0,2,0,0,0,1,0,0
area11,MP,Ausente,23.0,78,57,28,4,1,5,2,0,7,6,2,3,1,0,0,3,6,0,0,0,2,2,4,3,2,1,1,2,0,0,0,0,0,0,0,0,0
area12,MP,Presente,27.3,52,70,10,4,0,4,0,0,5,2,2,2,6,0,2,0,4,0,0,0,1,4,0,1,2,1,1,0,1,1,0,0,0,0,0,0,0
