"","Uf","code_muni","mes","counts"
"1","PE",261050,2022-09-01,0
"2","PE",261050,2022-08-01,0
"3","PE",261050,2022-07-01,1
"4","PE",261050,2022-06-01,0
"5","PE",261050,2022-05-01,0
"6","PE",261050,2022-04-01,0
"7","PE",261050,2022-03-01,0
"8","PE",261050,2022-02-01,0
"9","PE",261050,2022-01-01,0
"10","PE",261220,2022-09-01,4
"11","PE",261220,2022-08-01,2
"12","PE",261220,2022-07-01,3
"13","PE",261220,2022-06-01,1
"14","PE",261220,2022-05-01,2
"15","PE",261220,2022-04-01,1
"16","PE",261220,2022-03-01,2
"17","PE",261220,2022-02-01,1
"18","PE",261220,2022-01-01,0
"19","PE",261300,2022-09-01,1
"20","PE",261300,2022-08-01,0
"21","PE",261300,2022-07-01,0
"22","PE",261300,2022-06-01,0
"23","PE",261300,2022-05-01,0
"24","PE",261300,2022-04-01,0
"25","PE",261300,2022-03-01,2
"26","PE",261300,2022-02-01,0
"27","PE",261300,2022-01-01,0
"28","PE",261110,2022-09-01,19
"29","PE",261110,2022-08-01,22
"30","PE",261110,2022-07-01,14
"31","PE",261110,2022-06-01,12
"32","PE",261110,2022-05-01,23
"33","PE",261110,2022-04-01,21
"34","PE",261110,2022-03-01,27
"35","PE",261110,2022-02-01,19
"36","PE",261110,2022-01-01,21
"37","PE",260370,2022-09-01,1
"38","PE",260370,2022-08-01,0
"39","PE",260370,2022-07-01,0
"40","PE",260370,2022-06-01,0
"41","PE",260370,2022-05-01,0
"42","PE",260370,2022-04-01,0
"43","PE",260370,2022-03-01,0
"44","PE",260370,2022-02-01,0
"45","PE",260370,2022-01-01,0
"46","PE",260080,2022-09-01,1
"47","PE",260080,2022-08-01,4
"48","PE",260080,2022-07-01,6
"49","PE",260080,2022-06-01,2
"50","PE",260080,2022-05-01,2
"51","PE",260080,2022-04-01,0
"52","PE",260080,2022-03-01,0
"53","PE",260080,2022-02-01,1
"54","PE",260080,2022-01-01,0
"55","PE",261610,2022-09-01,1
"56","PE",261610,2022-08-01,1
"57","PE",261610,2022-07-01,0
"58","PE",261610,2022-06-01,2
"59","PE",261610,2022-05-01,1
"60","PE",261610,2022-04-01,2
"61","PE",261610,2022-03-01,0
"62","PE",261610,2022-02-01,1
"63","PE",261610,2022-01-01,1
"64","PE",260280,2022-09-01,2
"65","PE",260280,2022-08-01,0
"66","PE",260280,2022-07-01,0
"67","PE",260280,2022-06-01,0
"68","PE",260280,2022-05-01,0
"69","PE",260280,2022-04-01,0
"70","PE",260280,2022-03-01,0
"71","PE",260280,2022-02-01,0
"72","PE",260280,2022-01-01,0
"73","PE",260460,2022-09-01,1
"74","PE",260460,2022-08-01,2
"75","PE",260460,2022-07-01,1
"76","PE",260460,2022-06-01,2
"77","PE",260460,2022-05-01,0
"78","PE",260460,2022-04-01,0
"79","PE",260460,2022-03-01,0
"80","PE",260460,2022-02-01,1
"81","PE",260460,2022-01-01,1
"82","PE",260110,2022-09-01,1
"83","PE",260110,2022-08-01,4
"84","PE",260110,2022-07-01,2
"85","PE",260110,2022-06-01,1
"86","PE",260110,2022-05-01,0
"87","PE",260110,2022-04-01,4
"88","PE",260110,2022-03-01,4
"89","PE",260110,2022-02-01,4
"90","PE",260110,2022-01-01,0
"91","PE",261390,2022-09-01,1
"92","PE",261390,2022-08-01,1
"93","PE",261390,2022-07-01,2
"94","PE",261390,2022-06-01,0
"95","PE",261390,2022-05-01,1
"96","PE",261390,2022-04-01,0
"97","PE",261390,2022-03-01,4
"98","PE",261390,2022-02-01,0
"99","PE",261390,2022-01-01,0
"100","PE",260220,2022-09-01,1
"101","PE",260220,2022-08-01,1
"102","PE",260220,2022-07-01,0
"103","PE",260220,2022-06-01,0
"104","PE",260220,2022-05-01,0
"105","PE",260220,2022-04-01,0
"106","PE",260220,2022-03-01,0
"107","PE",260220,2022-02-01,0
"108","PE",260220,2022-01-01,0
"109","PE",260600,2022-09-01,5
"110","PE",260600,2022-08-01,10
"111","PE",260600,2022-07-01,5
"112","PE",260600,2022-06-01,4
"113","PE",260600,2022-05-01,17
"114","PE",260600,2022-04-01,3
"115","PE",260600,2022-03-01,12
"116","PE",260600,2022-02-01,11
"117","PE",260600,2022-01-01,3
"118","PE",260380,2022-09-01,0
"119","PE",260380,2022-08-01,0
"120","PE",260380,2022-07-01,0
"121","PE",260380,2022-06-01,0
"122","PE",260380,2022-05-01,0
"123","PE",260380,2022-04-01,1
"124","PE",260380,2022-03-01,0
"125","PE",260380,2022-02-01,0
"126","PE",260380,2022-01-01,0
"127","PE",261230,2022-09-01,0
"128","PE",261230,2022-08-01,0
"129","PE",261230,2022-07-01,0
"130","PE",261230,2022-06-01,0
"131","PE",261230,2022-05-01,0
"132","PE",261230,2022-04-01,0
"133","PE",261230,2022-03-01,0
"134","PE",261230,2022-02-01,1
"135","PE",261230,2022-01-01,1
"136","PE",260160,2022-09-01,0
"137","PE",260160,2022-08-01,0
"138","PE",260160,2022-07-01,0
"139","PE",260160,2022-06-01,2
"140","PE",260160,2022-05-01,0
"141","PE",260160,2022-04-01,0
"142","PE",260160,2022-03-01,10
"143","PE",260160,2022-02-01,4
"144","PE",260160,2022-01-01,6
"145","PE",261070,2022-09-01,5
"146","PE",261070,2022-08-01,3
"147","PE",261070,2022-07-01,0
"148","PE",261070,2022-06-01,0
"149","PE",261070,2022-05-01,1
"150","PE",261070,2022-04-01,1
"151","PE",261070,2022-03-01,11
"152","PE",261070,2022-02-01,2
"153","PE",261070,2022-01-01,1
"154","PE",260810,2022-09-01,0
"155","PE",260810,2022-08-01,2
"156","PE",260810,2022-07-01,0
"157","PE",260810,2022-06-01,0
"158","PE",260810,2022-05-01,0
"159","PE",260810,2022-04-01,0
"160","PE",260810,2022-03-01,0
"161","PE",260810,2022-02-01,0
"162","PE",260810,2022-01-01,0
"163","PE",260140,2022-09-01,3
"164","PE",260140,2022-08-01,1
"165","PE",260140,2022-07-01,0
"166","PE",260140,2022-06-01,1
"167","PE",260140,2022-05-01,3
"168","PE",260140,2022-04-01,0
"169","PE",260140,2022-03-01,0
"170","PE",260140,2022-02-01,0
"171","PE",260140,2022-01-01,0
"172","PE",260795,2022-09-01,0
"173","PE",260795,2022-08-01,1
"174","PE",260795,2022-07-01,0
"175","PE",260795,2022-06-01,0
"176","PE",260795,2022-05-01,0
"177","PE",260795,2022-04-01,0
"178","PE",260795,2022-03-01,0
"179","PE",260795,2022-02-01,1
"180","PE",260795,2022-01-01,0
"181","PE",260590,2022-09-01,0
"182","PE",260590,2022-08-01,1
"183","PE",260590,2022-07-01,1
"184","PE",260590,2022-06-01,0
"185","PE",260590,2022-05-01,0
"186","PE",260590,2022-04-01,0
"187","PE",260590,2022-03-01,0
"188","PE",260590,2022-02-01,0
"189","PE",260590,2022-01-01,0
"190","PE",260310,2022-09-01,0
"191","PE",260310,2022-08-01,2
"192","PE",260310,2022-07-01,0
"193","PE",260310,2022-06-01,0
"194","PE",260310,2022-05-01,0
"195","PE",260310,2022-04-01,0
"196","PE",260310,2022-03-01,0
"197","PE",260310,2022-02-01,0
"198","PE",260310,2022-01-01,0
"199","PE",261380,2022-09-01,1
"200","PE",261380,2022-08-01,1
"201","PE",261380,2022-07-01,1
"202","PE",261380,2022-06-01,0
"203","PE",261380,2022-05-01,3
"204","PE",261380,2022-04-01,0
"205","PE",261380,2022-03-01,0
"206","PE",261380,2022-02-01,3
"207","PE",261380,2022-01-01,1
"208","PE",261620,2022-09-01,1
"209","PE",261620,2022-08-01,0
"210","PE",261620,2022-07-01,0
"211","PE",261620,2022-06-01,0
"212","PE",261620,2022-05-01,0
"213","PE",261620,2022-04-01,0
"214","PE",261620,2022-03-01,1
"215","PE",261620,2022-02-01,1
"216","PE",261620,2022-01-01,3
"217","PE",260750,2022-09-01,0
"218","PE",260750,2022-08-01,1
"219","PE",260750,2022-07-01,1
"220","PE",260750,2022-06-01,1
"221","PE",260750,2022-05-01,0
"222","PE",260750,2022-04-01,0
"223","PE",260750,2022-03-01,0
"224","PE",260750,2022-02-01,0
"225","PE",260750,2022-01-01,0
"226","PE",260545,2022-09-01,1
