Uf	code_muni	mes	counts
PE	261050	SET/2022	0
PE	261050	AGO/2022	0
PE	261050	JUL/2022	1
PE	261050	JUN/2022	0
PE	261050	MAI/2022	0
PE	261050	ABR/2022	0
PE	261050	MAR/2022	0
PE	261050	FEV/2022	0
PE	261050	JAN/2022	0
PE	261220	SET/2022	4
PE	261220	AGO/2022	2
PE	261220	JUL/2022	3
PE	261220	JUN/2022	1
PE	261220	MAI/2022	2
PE	261220	ABR/2022	1
PE	261220	MAR/2022	2
PE	261220	FEV/2022	1
PE	261220	JAN/2022	0
PE	261300	SET/2022	1
PE	261300	AGO/2022	0
PE	261300	JUL/2022	0
PE	261300	JUN/2022	0
PE	261300	MAI/2022	0
PE	261300	ABR/2022	0
PE	261300	MAR/2022	2
PE	261300	FEV/2022	0
PE	261300	JAN/2022	0
PE	261110	SET/2022	19
PE	261110	AGO/2022	22
PE	261110	JUL/2022	14
PE	261110	JUN/2022	12
PE	261110	MAI/2022	23
PE	261110	ABR/2022	21
PE	261110	MAR/2022	27
PE	261110	FEV/2022	19
PE	261110	JAN/2022	21
PE	260370	SET/2022	1
PE	260370	AGO/2022	0
PE	260370	JUL/2022	0
PE	260370	JUN/2022	0
PE	260370	MAI/2022	0
PE	260370	ABR/2022	0
PE	260370	MAR/2022	0
PE	260370	FEV/2022	0
PE	260370	JAN/2022	0
PE	260080	SET/2022	1
PE	260080	AGO/2022	4
PE	260080	JUL/2022	6
PE	260080	JUN/2022	2
PE	260080	MAI/2022	2
PE	260080	ABR/2022	0
PE	260080	MAR/2022	0
PE	260080	FEV/2022	1
PE	260080	JAN/2022	0
PE	261610	SET/2022	1
PE	261610	AGO/2022	1
PE	261610	JUL/2022	0
PE	261610	JUN/2022	2
PE	261610	MAI/2022	1
PE	261610	ABR/2022	2
PE	261610	MAR/2022	0
PE	261610	FEV/2022	1
PE	261610	JAN/2022	1
PE	260280	SET/2022	2
PE	260280	AGO/2022	0
PE	260280	JUL/2022	0
PE	260280	JUN/2022	0
PE	260280	MAI/2022	0
PE	260280	ABR/2022	0
PE	260280	MAR/2022	0
PE	260280	FEV/2022	0
PE	260280	JAN/2022	0
PE	260460	SET/2022	1
PE	260460	AGO/2022	2
PE	260460	JUL/2022	1
PE	260460	JUN/2022	2
PE	260460	MAI/2022	0
PE	260460	ABR/2022	0
PE	260460	MAR/2022	0
PE	260460	FEV/2022	1
PE	260460	JAN/2022	1
PE	260110	SET/2022	1
PE	260110	AGO/2022	4
PE	260110	JUL/2022	2
PE	260110	JUN/2022	1
PE	260110	MAI/2022	0
PE	260110	ABR/2022	4
PE	260110	MAR/2022	4
PE	260110	FEV/2022	4
PE	260110	JAN/2022	0
PE	261390	SET/2022	1
PE	261390	AGO/2022	1
PE	261390	JUL/2022	2
PE	261390	JUN/2022	0
PE	261390	MAI/2022	1
PE	261390	ABR/2022	0
PE	261390	MAR/2022	4
PE	261390	FEV/2022	0
PE	261390	JAN/2022	0
PE	260220	SET/2022	1
PE	260220	AGO/2022	1
PE	260220	JUL/2022	0
PE	260220	JUN/2022	0
PE	260220	MAI/2022	0
PE	260220	ABR/2022	0
PE	260220	MAR/2022	0
PE	260220	FEV/2022	0
PE	260220	JAN/2022	0
PE	260600	SET/2022	5
PE	260600	AGO/2022	10
PE	260600	JUL/2022	5
PE	260600	JUN/2022	4
PE	260600	MAI/2022	17
PE	260600	ABR/2022	3
PE	260600	MAR/2022	12
PE	260600	FEV/2022	11
PE	260600	JAN/2022	3
PE	260380	SET/2022	0
PE	260380	AGO/2022	0
PE	260380	JUL/2022	0
PE	260380	JUN/2022	0
PE	260380	MAI/2022	0
PE	260380	ABR/2022	1
PE	260380	MAR/2022	0
PE	260380	FEV/2022	0
PE	260380	JAN/2022	0
PE	261230	SET/2022	0
PE	261230	AGO/2022	0
PE	261230	JUL/2022	0
PE	261230	JUN/2022	0
PE	261230	MAI/2022	0
PE	261230	ABR/2022	0
PE	261230	MAR/2022	0
PE	261230	FEV/2022	1
PE	261230	JAN/2022	1
PE	260160	SET/2022	0
PE	260160	AGO/2022	0
PE	260160	JUL/2022	0
PE	260160	JUN/2022	2
