 Óbitos infantis - Espírito Santo
Óbitos p/Residênc por Município e Sexo
Período:2020
"Município";"Masc";"Fem";"Ign";"Total"
"320010 AFONSO CLAUDIO";1;-;-;1
"320013 AGUIA BRANCA";-;2;-;2
"320016 AGUA DOCE DO NORTE";-;1;-;1
"320020 ALEGRE";3;3;-;6
"320030 ALFREDO CHAVES";-;-;-;-
"320035 ALTO RIO NOVO";-;-;-;-
"320040 ANCHIETA";2;-;-;2
"320050 APIACA";1;2;-;3
"320060 ARACRUZ";9;2;1;12
"320070 ATILIO VIVACQUA";1;2;-;3
"320080 BAIXO GUANDU";1;-;-;1
"320090 BARRA DE SAO FRANCISCO";1;1;1;3
"320100 BOA ESPERANCA";-;2;-;2
"320110 BOM JESUS DO NORTE";-;-;-;-
"320115 BREJETUBA";-;1;-;1
"320120 CACHOEIRO DE ITAPEMIRIM";9;3;-;12
"320130 CARIACICA";23;28;1;52
"320140 CASTELO";2;1;-;3
"320150 COLATINA";10;5;1;16
"320160 CONCEICAO DA BARRA";3;2;-;5
"320170 CONCEICAO DO CASTELO";-;1;-;1
"320180 DIVINO DE SAO LOURENCO";-;-;-;-
"320190 DOMINGOS MARTINS";4;-;-;4
"320200 DORES DO RIO PRETO";-;-;-;-
"320210 ECOPORANGA";2;5;-;7
"320220 FUNDAO";-;2;-;2
"320225 GOVERNADOR LINDENBERG";-;1;-;1
"320230 GUACUI";2;5;-;7
"320240 GUARAPARI";6;6;-;12
"320245 IBATIBA";1;-;-;1
"320250 IBIRACU";1;1;-;2
"320255 IBITIRAMA";-;1;-;1
"320260 ICONHA";-;-;-;-
"320265 IRUPI";4;1;-;5
"320270 ITAGUACU";-;-;-;-
"320280 ITAPEMIRIM";1;2;-;3
"320290 ITARANA";1;-;-;1
"320300 IUNA";1;1;-;2
"320305 JAGUARE";2;1;-;3
"320310 JERONIMO MONTEIRO";-;-;-;-
"320313 JOAO NEIVA";1;2;-;3
"320316 LARANJA DA TERRA";-;2;-;2
"320320 LINHARES";12;13;-;25
"320330 MANTENOPOLIS";1;1;-;2
"320332 MARATAIZES";4;2;-;6
"320334 MARECHAL FLORIANO";3;-;-;3
"320335 MARILANDIA";1;-;-;1
"320340 MIMOSO DO SUL";-;-;-;-
"320350 MONTANHA";1;1;-;2
"320360 MUCURICI";1;-;-;1
"320370 MUNIZ FREIRE";3;1;-;4
"320380 MUQUI";1;-;-;1
"320390 NOVA VENECIA";-;4;-;4
"320400 PANCAS";-;1;-;1
"320405 PEDRO CANARIO";3;1;-;4
"320410 PINHEIROS";-;3;-;3
"320420 PIUMA";5;3;-;8
"320425 PONTO BELO";-;-;-;-
"320430 PRESIDENTE KENNEDY";3;-;-;3
"320435 RIO BANANAL";1;2;-;3
"320440 RIO NOVO DO SUL";1;1;-;2
"320450 SANTA LEOPOLDINA";2;1;-;3
"320455 SANTA MARIA DE JETIBA";4;2;-;6
"320460 SANTA TERESA";-;-;-;-
"320465 SAO DOMINGOS DO NORTE";1;1;-;2
"320470 SAO GABRIEL DA PALHA";-;6;-;6
"320480 SAO JOSE DO CALCADO";-;3;-;3
"320490 SAO MATEUS";13;14;-;27
"320495 SAO ROQUE DO CANAA";1;-;-;1
"320500 SERRA";49;39;-;88
"320501 SOORETAMA";7;1;-;8
"320503 VARGEM ALTA";5;-;-;5
"320506 VENDA NOVA DO IMIGRANTE";3;1;-;4
"320510 VIANA";4;2;-;6
"320515 VILA PAVAO";-;1;-;1
"320517 VILA VALERIO";2;-;-;2
"320520 VILA VELHA";42;30;-;72
"320530 VITORIA";19;17;-;36
"Total";284;237;4;525
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
