"","data.pct_covid","data.covid_se","data.pct_covid_unw","data.covid_se_unw","data.sample_size","data.country","data.iso_code","data.gid_0","data.survey_date","status"
"1",0.015427,0.007452,0.014235,0.004997,562,"Brazil","BRA","BRA","20200423","success"
"2",0.021919,0.0017,0.018005,0.001013,17217,"Brazil","BRA","BRA","20200424","success"
"3",0.018925,0.001586,0.01913,0.001304,11030,"Brazil","BRA","BRA","20200425","success"
"4",0.022683,0.001957,0.019769,0.001317,11179,"Brazil","BRA","BRA","20200426","success"
"5",0.020361,0.001866,0.01772,0.001227,11569,"Brazil","BRA","BRA","20200427","success"
"6",0.02228,0.001739,0.020539,0.001263,12610,"Brazil","BRA","BRA","20200428","success"
"7",0.02072,0.001596,0.018801,0.001207,12659,"Brazil","BRA","BRA","20200429","success"
"8",0.023123,0.00625,0.020683,0.004577,967,"Brazil","BRA","BRA","20200430","success"
"9",0.023951,0.00198,0.02069,0.001319,11648,"Brazil","BRA","BRA","20200501","success"
"10",0.022537,0.002184,0.019956,0.001397,10022,"Brazil","BRA","BRA","20200502","success"
"11",0.024464,0.001682,0.023596,0.001266,14367,"Brazil","BRA","BRA","20200503","success"
"12",0.022459,0.001563,0.02255,0.001154,16541,"Brazil","BRA","BRA","20200504","success"
"13",0.023951,0.001583,0.024355,0.001203,16424,"Brazil","BRA","BRA","20200505","success"
"14",0.022727,0.001527,0.022823,0.001157,16650,"Brazil","BRA","BRA","20200506","success"
"15",0.019895,0.001458,0.020815,0.001092,17103,"Brazil","BRA","BRA","20200507","success"
"16",0.020951,0.001335,0.022243,0.001133,16949,"Brazil","BRA","BRA","20200508","success"
"17",0.022238,0.001539,0.022955,0.001164,16554,"Brazil","BRA","BRA","20200509","success"
"18",0.020832,0.001413,0.021277,0.001132,16262,"Brazil","BRA","BRA","20200510","success"
"19",0.022651,0.001593,0.022737,0.001144,16977,"Brazil","BRA","BRA","20200511","success"
"20",0.023168,0.001563,0.023261,0.001176,16422,"Brazil","BRA","BRA","20200512","success"
"21",0.020893,0.001626,0.020845,0.001199,14200,"Brazil","BRA","BRA","20200513","success"
"22",0.018125,0.00136,0.02102,0.001183,14700,"Brazil","BRA","BRA","20200514","success"
"23",0.021468,0.001444,0.022977,0.001165,16538,"Brazil","BRA","BRA","20200515","success"
"24",0.020247,0.001276,0.022178,0.001113,17495,"Brazil","BRA","BRA","20200516","success"
"25",0.021424,0.001436,0.022677,0.001109,18036,"Brazil","BRA","BRA","20200517","success"
"26",0.020591,0.001325,0.021684,0.001059,18908,"Brazil","BRA","BRA","20200518","success"
"27",0.021815,0.001518,0.023079,0.001116,18112,"Brazil","BRA","BRA","20200519","success"
"28",0.020371,0.001491,0.020935,0.001162,15190,"Brazil","BRA","BRA","20200520","success"
"29",0.019714,0.001549,0.021601,0.001236,13842,"Brazil","BRA","BRA","20200521","success"
"30",0.022176,0.001764,0.021067,0.001144,15759,"Brazil","BRA","BRA","20200522","success"
