"","data.pct_covid","data.covid_se","data.pct_covid_unw","data.covid_se_unw","data.sample_size","data.country","data.region","data.iso_code","data.gid_0","data.gid_1","data.survey_date","status"
"1",0.002522,0.001595,0.004104,0.002365,731,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200501","success"
"2",0.002354,0.001735,0.002941,0.002077,680,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200502","success"
"3",0.011891,0.005404,0.009346,0.003798,642,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200503","success"
"4",0.006833,0.002954,0.008547,0.003474,702,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200504","success"
"5",0.004149,0.001955,0.007353,0.003276,680,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200505","success"
"6",0.010871,0.005971,0.007215,0.003215,693,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200506","success"
"7",0.00296,0.002155,0.003058,0.002159,654,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200507","success"
"8",0.001952,0.001388,0.002941,0.002077,680,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200508","success"
"9",0.013427,0.00587,0.012048,0.004234,664,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200509","success"
"10",0.004724,0.003777,0.004559,0.002626,658,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200510","success"
"11",0.006327,0.00332,0.005952,0.002967,672,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200511","success"
"12",0.005365,0.003369,0.004785,0.002756,627,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200512","success"
"13",0.002772,0.002022,0.003279,0.002315,610,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200513","success"
"14",0.001766,0.001256,0.003472,0.002451,576,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200514","success"
