"Leto","Mesec","Dan","Datum smrti","Starostna skupina","Spol","Starostna skupina COUNT","Pristojna UE","Upravna enota"
"2010","Januar","01/01/2010","01/01/2010","8. Več kot 71 let","M",1,2,"Brežice"
,,,"01/01/2010","7. Od 61-71 let","M",1,3,"Celje"
,,,"01/01/2010","8. Več kot 71 let","Ž",2,3,"Celje"
,,,"01/01/2010","8. Več kot 71 let","M",1,9,"Grosuplje"
,,,"01/01/2010","7. Od 61-71 let","M",1,11,"Idrija"
,,,"01/01/2010","8. Več kot 71 let","M",2,12,"Ilirska Bistrica"
,,,"01/01/2010","8. Več kot 71 let","Ž",1,13,"Izola"
,,,"01/01/2010","8. Več kot 71 let","M",2,13,"Izola"
,,,"01/01/2010","7. Od 61-71 let","Ž",1,14,"Jesenice"
,,,"01/01/2010","8. Več kot 71 let","M",1,15,"Kamnik"
,,,"01/01/2010","8. Več kot 71 let","Ž",1,20,"Laško"
,,,"01/01/2010","8. Več kot 71 let","Ž",1,21,"Lenart"
,,,"01/01/2010","8. Več kot 71 let","M",1,22,"Lendava"
,,,"01/01/2010","8. Več kot 71 let","M",7,24,"Ljubljana"
,,,"01/01/2010","3. Od 18-31 let","M",1,24,"Ljubljana"
,,,"01/01/2010","8. Več kot 71 let","Ž",3,24,"Ljubljana"
,,,"01/01/2010","7. Od 61-71 let","Ž",1,24,"Ljubljana"
,,,"01/01/2010","7. Od 61-71 let","M",1,24,"Ljubljana"
,,,"01/01/2010","8. Več kot 71 let","Ž",1,29,"Ljutomer"
,,,"01/01/2010","8. Več kot 71 let","Ž",1,34,"Metlika"
,,,"01/01/2010","8. Več kot 71 let","Ž",1,35,"Mozirje"
,,,"01/01/2010","6. Od 51-61 let","M",1,36,"Murska Sobota"
,,,"01/01/2010","8. Več kot 71 let","Ž",1,37,"Nova Gorica"
,,,"01/01/2010","8. Več kot 71 let","M",1,37,"Nova Gorica"
,,,"01/01/2010","8. Več kot 71 let","M",3,38,"Novo mesto"
,,,"01/01/2010","7. Od 61-71 let","Ž",1,38,"Novo mesto"
,,,"01/01/2010","6. Od 51-61 let","M",1,39,"Ormož"
,,,"01/01/2010","8. Več kot 71 let","Ž",3,42,"Ptuj"
,,,"01/01/2010","8. Več kot 71 let","M",2,42,"Ptuj"
,,,"01/01/2010","8. Več kot 71 let","M",2,44,"Radovljica"
,,,"01/01/2010","8. Več kot 71 let","M",1,46,"Ribnica"
